id	mask_not_process	title	unit	req_amount	globus_method	globus_url	keyword	perekrestok_method	perekrestok_url	okey_method	okey_url	ashan_method	ashan_url
21		Горох и фасоль	кг	7.3	byurls	https://online.globus.ru/search/?section_id=724&q=%D0%B3%D0%BE%D1%80%D0%BE%D1%85&s=%D0%9DD0%B0%D0%B9%D1%82%D0%B8&count=64 https://online.globus.ru/search/?section_id=724&q=%D1%84%D0%B0%D1%81%D0%BE%D0%BB%D1%8C&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	горох фасоль	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1361&text=%D0%B3%D0%BE%D1%80%D0%BE%D1%85 https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1361&text=%D1%84%D0%B0%D1%81%D0%BE%D0%BB%D1%8C	byurls		byurls	https://www.auchan.ru/pokupki/eda/bakaleja/krupy-boby/goroh.html?limit=96 https://www.auchan.ru/pokupki/eda/bakaleja/krupy-boby/fasol.html?limit=96
22		Вермишель	кг	6	byurls	https://online.globus.ru/search/?section_id=726&q=%D0%B2%D0%B5%D1%80%D0%BC%D0%B8%D1%88%D0%B5%D0%BB%D1%8C&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	вермишель	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1362&text=%D0%B2%D0%B5%D1%80%D0%BC%D0%B8%D1%88%D0%B5%D0%BB%D1%8C	byurls		byurls	https://www.auchan.ru/pokupki/eda/bakaleja/makarony/vermishel.html?limit=96
23		Картофель	кг	150	byurls	https://online.globus.ru/search/?section_id=687&q=%D0%BA%D0%B0%D1%80%D1%82%D0%BE%D1%84%D0%B5%D0%BB%D1%8C&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	картошка	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1399&text=%D0%BA%D0%B0%D1%80%D1%82%D0%BE%D1%84%D0%B5%D0%BB%D1%8C	byurls		skip	
24		Капуста белокочанная свежая	кг	35	byurls	https://online.globus.ru/search/?section_id=691&q=%D0%BA%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%B0+%D0%B1%D0%B5%D0%BB%D0%BE%D0%BA%D0%BE%D1%87%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	капуста	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1399&text=%D0%BA%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%B0	byurls		skip	
25		Морковь	кг	35	byurls	https://online.globus.ru/search/?section_id=687&q=%D0%BC%D0%BE%D1%80%D0%BA%D0%BE%D0%B2%D1%8C&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	морковь	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1399&text=%D0%BC%D0%BE%D1%80%D0%BA%D0%BE%D0%B2%D1%8C	byurls		skip	
26		Огурцы свежие	кг	1.8	byurls	https://online.globus.ru/search/?section_id=688&q=%D0%BE%D0%B3%D1%83%D1%80%D1%86%D1%8B&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_1047_3661895951=Y&searchFilter_1047_1129138357=Y&set_filter=Y&count=64	огурцы	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1399&text=%D0%BE%D0%B3%D1%83%D1%80%D1%86%D1%8B	byurls		skip	
27		Лук репчатый	кг	20	byurls	https://online.globus.ru/search/?section_id=689&q=%D0%BB%D1%83%D0%BA%20%D1%80%D0%B5%D0%BF%D1%87%D0%B0%D1%82%D1%8B%D0%B9&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64&searchFilter_1001_2326859943=Y&set_filter=Y	лук	byurls	https://www.perekrestok.ru/catalog/search?text=%D0%BB%D1%83%D0%BA%20%D1%80%D0%B5%D0%BF%D1%87%D0%B0%D1%82%D1%8B%D0%B9	byurls		skip	
28		Яблоки	кг	18.6	byurls	https://online.globus.ru/search/?section_id=695&q=%D1%8F%D0%B1%D0%BB%D0%BE%D0%BA%D0%B8&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_916_2535756429=Y&set_filter=Y&count=64	яблоки	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1401&text=%D1%8F%D0%B1%D0%BB%D0%BE%D0%BA%D0%B8	byurls		skip	
29		Печенье	кг	0.7	byurls	https://online.globus.ru/search/?section_id=806&q=%D0%BF%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%D0%B5&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8 https://online.globus.ru/search/?section_id=1213&q=%D0%BF%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%D0%B5&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8	печенье	byurls	https://www.perekrestok.ru/catalog/search?text=%D0%BF%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%D0%B5	byurls		byurls	https://www.auchan.ru/pokupki/eda/sladosti/pechenye-vafli-pryaniki/ovsjanoe-pechen-e.html?limit=96 https://www.auchan.ru/pokupki/eda/sladosti/pechenye-vafli-pryaniki/saharnoe-pechen-e.html?limit=96 https://www.auchan.ru/pokupki/eda/sladosti/pechenye-vafli-pryaniki/v-glazuri.html?limit=96 https://www.auchan.ru/pokupki/eda/sladosti/pechenye-vafli-pryaniki/sloenoe-pechen-e.html?limit=96 https://www.auchan.ru/pokupki/eda/sladosti/pechenye-vafli-pryaniki/pesochnoe-pechen-e.html?limit=96 https://www.auchan.ru/pokupki/eda/sladosti/pechenye-vafli-pryaniki/pechen-e-s-nachinkoj.html?limit=96
30		Карамель	кг	0.7	byurls	https://online.globus.ru/search/?section_id=797&q=%D0%BA%D0%B0%D1%80%D0%B0%D0%BC%D0%B5%D0%BB%D1%8C&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_863_181240500=Y&set_filter=Y&count=64	карамель	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1441&text=%D0%BA%D0%B0%D1%80%D0%B0%D0%BC%D0%B5%D0%BB%D1%8C	byurls		byurls	https://www.auchan.ru/pokupki/eda/sladosti/konfety/karamel-nye-konfety-karamel-ki.html?limit=96
31		Чай черный байховый	кг	0.5	byurls	https://online.globus.ru/search/?section_id=771&q=%D1%87%D0%B0%D0%B9&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	чай	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1532&text=%D1%87%D0%B0%D0%B9	byurls		byurls	https://www.auchan.ru/pokupki/eda/kofe-chai-sahar/chay.html?limit=96
32		Соль поваренная пищевая	кг	3.65	byurls	https://online.globus.ru/search/?section_id=756&q=%D1%81%D0%BE%D0%BB%D1%8C&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_1080_3452370154=Y&set_filter=Y&count=64	соль	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1369&attr%5Bcategory%5D%5B%5D=1368&text=%D1%81%D0%BE%D0%BB%D1%8C	byurls		byurls	https://www.auchan.ru/pokupki/eda/bakaleja/sol-pripravy-specii/sol/sol-povarennaja.html?limit=96
33		Перец черный (горошек)	кг	0.73	byurls	https://online.globus.ru/search/?q=%D0%BF%D0%B5%D1%80%D0%B5%D1%86+%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9+%D0%B3%D0%BE%D1%80%D0%BE%D1%88%D0%B5%D0%BA&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64	перец черный горошек	byurls	https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1369&text=%D0%BF%D0%B5%D1%80%D0%B5%D1%86	byurls		byurls	https://www.auchan.ru/pokupki/eda/bakaleja/sol-pripravy-specii/specii-prjanosti/chernyj-perec.html?limit=96
